TITLE,Sucrose_0.02M
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,1
DATE,21/01/25
TIME,12:25:46
SPECTROMETER/DATA SYSTEM,
LOCALE,16393
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX, 2700.0000
LASTX,  200.0000
NPOINTS,   12501
FIRSTY,     3.21800
MAXY,    10.00000
MINY,    -5.30953
XYDATA
2700.0000,3.218
2699.8000,-1.64837
2699.6001,-2.03558
2699.3999,-2.63686
2699.2000,0.18472
2699.0000,-2.44857
2698.8000,1.75497
2698.6001,0
2698.3999,10
2698.2000,10
2698.0000,3.83956
2697.8000,0
2697.6001,-3.71838
2697.3999,-3.40539
2697.2000,0.49485
2697.0000,10
2696.8000,-1.99272
2696.6001,0.165928
2696.3999,10
2696.2000,10
2696.0000,0.0506681
2695.8000,10
2695.6001,10
2695.3999,-2.11679
2695.2000,-3.23769
2695.0000,0.598198
2694.8000,0.164325
2694.6001,10
2694.3999,-1.65294
2694.2000,10
2694.0000,10
2693.8000,10
2693.6001,10
2693.3999,10
2693.2000,10
2693.0000,10
2692.8000,-0.628555
2692.6001,2.16163
2692.3999,10
2692.2000,10
2692.0000,10
2691.8000,3.99509
2691.6001,0
2691.3999,10
2691.2000,-4.01999
2691.0000,0
2690.8000,0
2690.6001,0
2690.3999,10
2690.2000,0.11083
2690.0000,10
2689.8000,10
2689.6001,10
2689.3999,10
2689.2000,-2.22343
2689.0000,2.37982
2688.8000,2.11793
2688.6001,0
2688.3999,-2.09387
2688.2000,10
2688.0000,10
2687.8000,10
2687.6001,0
2687.3999,10
2687.2000,10
2687.0000,3.49756
2686.8000,10
2686.6001,0
2686.3999,0.574417
2686.2000,10
2686.0000,10
2685.8000,10
2685.6001,10
2685.3999,10
2685.2000,10
2685.0000,10
2684.8000,1.45683
2684.6001,10
2684.3999,10
2684.2000,-2.51354
2684.0000,10
2683.8000,-3.13959
2683.6001,-1.11931
2683.3999,10
2683.2000,10
2683.0000,10
2682.8000,10
2682.6001,10
2682.3999,10
2682.2000,0
2682.0000,0
2681.8000,10
2681.6001,10
2681.3999,-0.812307
2681.2000,10
2681.0000,-1.25831
2680.8000,1.27107
2680.6001,10
2680.3999,10
2680.2000,10
2680.0000,10
2679.8000,1.6829
2679.6001,10
2679.3999,10
2679.2000,0
2679.0000,10
2678.8000,10
2678.6001,10
2678.3999,10
2678.2000,10
2678.0000,-2.97475
2677.8000,10
2677.6001,0
2677.3999,10
2677.2000,10
2677.0000,0.310598
2676.8000,10
2676.6001,0
2676.3999,10
2676.2000,3.12401
2676.0000,-2.93716
2675.8000,2.97976
2675.6001,10
2675.3999,10
2675.2000,0.311467
2675.0000,10
2674.8000,10
2674.6001,10
2674.3999,0.823909
2674.2000,10
2674.0000,10
