TITLE,Sucrose_0.05M
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,1
DATE,21/01/25
TIME,13:01:17
SPECTROMETER/DATA SYSTEM,
LOCALE,16393
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX, 2700.0000
LASTX,  200.0000
NPOINTS,   12501
FIRSTY,     0.80755
MAXY,    10.00000
MINY,    -4.83885
XYDATA
2636.8000,10
2636.6001,-1.47326
2636.3999,0.0984102
2636.2000,10
2636.0000,0
2635.8000,10
2635.6001,10
2635.3999,0
2635.2000,10
2635.0000,10
2634.8000,0
2634.6001,10
2634.3999,-2.87496
2634.2000,10
2634.0000,0
2633.8000,10
2633.6001,-2.17895
2633.3999,10
2633.2000,10
2633.0000,0
2632.8000,10
2632.6001,10
2632.3999,10
2632.2000,10
2632.0000,0
2631.8000,10
2631.6001,10
2631.3999,10
2631.2000,10
2631.0000,10
2630.8000,-0.540026
2630.6001,0
2630.3999,10
2630.2000,10
2630.0000,2.04876
2629.8000,0
2629.6001,10
2629.3999,10
2629.2000,10
2629.0000,-2.5599
2628.8000,-0.476105
2628.6001,10
2628.3999,10
2628.2000,10
2628.0000,0
2627.8000,0
2627.6001,10
2627.3999,0
2627.2000,0
2627.0000,10
2626.8000,10
2626.6001,10
2626.3999,-1.69736
2626.2000,0
2626.0000,10
2625.8000,10
2625.6001,10
2625.3999,10
2625.2000,2.52032
2625.0000,-0.427938
2624.8000,0
2624.6001,10
2624.3999,10
2624.2000,10
2624.0000,10
2623.8000,10
2623.6001,0
2623.3999,10
2623.2000,-0.512647
2623.0000,10
2622.8000,10
2622.6001,10
2622.3999,10
2622.2000,10
2622.0000,1.17644
2621.8000,10
2621.6001,0
2621.3999,1.88361
2621.2000,10
2621.0000,-0.408533
2620.8000,2.9623
2620.6001,-0.206573
2620.3999,2.27504
2620.2000,-0.0792014
2620.0000,-3.11268
2619.8000,-0.38948
2619.6001,0.0222764
2619.3999,0
2619.2000,10
2619.0000,10
2618.8000,-0.0669468
2618.6001,10
2618.3999,0
2618.2000,10
2618.0000,10
2617.8000,1.64782
2617.6001,-1.78927
2617.3999,1.67932
2617.2000,10
2617.0000,10
2616.8000,10
