Wavelength(nm),Absorbance
1966.2000,10
1966.0000,10
1965.8000,10
1965.6000,10
1965.4000,10
1965.2000,0
1965.0000,10
1964.8000,10
1964.6000,-2.54691
1964.4000,-0.184494
1964.2000,10
1964.0000,0
1963.8000,10
1963.6000,10
1963.4000,10
1963.2000,2.0444
1963.0000,-0.387216
1962.8000,10
1962.6000,10
1962.4000,10
1962.2000,10
1962.0000,0
1961.8000,0
1961.6000,2.85164
1961.4000,10
1961.2000,10
1961.0000,10
1960.8000,-3.20326
1960.6000,10
1960.4000,0
1960.2000,0
1960.0000,10
1959.8000,10
1959.6000,-2.43666
1959.4000,-0.0304547
1959.2000,10
1959.0000,10
1958.8000,10
1958.6000,10
1958.4000,10
1958.2000,0
1958.0000,10
1957.8000,0
1957.6000,0
1957.4000,10
1957.2000,0.633032
1957.0000,2.65797
1956.8000,2.93443
1956.6000,10
1956.4000,0
1956.2000,1.27248
1956.0000,10
1955.8000,10
1955.6000,-2.13593
1955.4000,10
1955.2000,10
1955.0000,0
1954.8000,10
1954.6000,10
1954.4000,-2.53256
1954.2000,10
1954.0000,10
1953.8000,-0.287256
1953.6000,1.39562
1953.4000,10
1953.2000,10
1953.0000,10
1952.8000,10
1952.6000,0
1952.4000,10
1952.2000,-1.17265
1952.0000,-0.264581
1951.8000,10
1951.6000,10
1951.4000,-2.32451
1951.2000,10
1951.0000,-1.91675
1950.8000,-2.76256
1950.6000,-3.53633
1950.4000,10
1950.2000,-3.54119
1950.0000,4.37283
1949.8000,10
1949.6000,-1.66128
1949.4000,0
1949.2000,-0.0655015
1949.0000,-0.347958
1948.8000,3.39215
1948.6000,10
1948.4000,10
1948.2000,10
1948.0000,-1.34336
1947.8000,10
1947.6000,10
1947.4000,0.100744
1947.2000,1.80719
1947.0000,10
1946.8000,0.251342
1946.6000,10
1946.4000,10
1946.2000,10
1946.0000,10
1945.8000,-3.10176
1945.6000,10
1945.4000,-0.988428
1945.2000,0
1945.0000,10
1944.8000,10
1944.6000,0.383128
1944.4000,10
1944.2000,0.752675
1944.0000,10
1943.8000,10
1943.6000,1.95
1943.4000,3.14841
1943.2000,0
1943.0000,1.59087
1942.8000,10
1942.6000,2.64678
1942.4000,0
1942.2000,10
1942.0000,-2.43666
1941.8000,3.02626
1941.6000,-0.511303
1941.4000,10
1941.2000,10
1941.0000,10
1940.8000,0.442383
1940.6000,10
1940.4000,10
1940.2000,-1.31557
1940.0000,-2.43376
1939.8000,10
1939.6000,10
1939.4000,10
1939.2000,0.0297128
1939.0000,-3.02991
1938.8000,10
1938.6000,10
1938.4000,0
1938.2000,10
1938.0000,10
1937.8000,1.84255
1937.6000,-1.01175
1937.4000,10
1937.2000,1.6564
1937.0000,0
1936.8000,10
1936.6000,10
1936.4000,2.23633
1936.2000,-3.89398
1936.0000,-3.19014
1935.8000,0
1935.6000,10
1935.4000,-2.92579
1935.2000,-2.28008
1935.0000,10
1934.8000,10
1934.6000,10
1934.4000,10
1934.2000,-2.68797
1934.0000,10
1933.8000,0
1933.6000,0.347773
1933.4000,10
1933.2000,-2.2722
1933.0000,10
1932.8000,0.28545
1932.6000,0
1932.4000,10
1932.2000,10
1932.0000,10
1931.8000,10
1931.6000,1.09691
1931.4000,-0.109154
1931.2000,10
1931.0000,10
1930.8000,-1.57152
1930.6000,10
1930.4000,-1.45888
1930.2000,0
1930.0000,0
1929.8000,10
1929.6000,10
1929.4000,-0.36279
1929.2000,10
1929.0000,-0.23123
1928.8000,-2.65373
1928.6000,10
1928.4000,10
1928.2000,10
1928.0000,10
1927.8000,10
1927.6000,0
1927.4000,-3.9972
1927.2000,10
1927.0000,10
1926.8000,0
1926.6000,-1.02738
1926.4000,10
1926.2000,10
1926.0000,10
1925.8000,10
1925.6000,0.13685
1925.4000,-0.189522
1925.2000,-1.00564
1925.0000,0
1924.8000,10
1924.6000,10
1924.4000,10
1924.2000,10
1924.0000,10
1923.8000,-3.19157
1923.6000,-0.0540528
1923.4000,-0.412024
1923.2000,10
1923.0000,10
1922.8000,4.04602
1922.6000,0
1922.4000,10
1922.2000,10
1922.0000,0
1921.8000,10
1921.6000,10
1921.4000,10
1921.2000,10
1921.0000,10
1920.8000,10
1920.6000,0
1920.4000,10
1920.2000,0.244196
1920.0000,10
1919.8000,0.0871502
1919.6000,2.13336
1919.4000,0
1919.2000,-1.62634
1919.0000,0
1918.8000,10
1918.6000,10
1918.4000,0.222647
1918.2000,-3.2274
1918.0000,10
1917.8000,10
1917.6000,10
1917.4000,10
1917.2000,-2.1073
1917.0000,0
1916.8000,-1.81801
1916.6000,0
1916.4000,10
1916.2000,0
1916.0000,10
1915.8000,1.73603
1915.6000,10
1915.4000,10
1915.2000,10
1915.0000,10
1914.8000,-0.236572
1914.6000,0
1914.4000,10
1914.2000,10
1914.0000,0.0177288
1913.8000,10
1913.6000,0
1913.4000,10
1913.2000,10
1913.0000,10
1912.8000,10
1912.6000,10
1912.4000,10
1912.2000,-2.67323
1912.0000,10
1911.8000,0
1911.6000,10
1911.4000,10
1911.2000,0.0862407
1911.0000,1.60343
1910.8000,0
1910.6000,10
1910.4000,0.814439
1910.2000,10
1910.0000,10
1909.8000,2.344
1909.6000,10
1909.4000,-2.76137
1909.2000,10
1909.0000,10
1908.8000,3.11488
1908.6000,-0.955274
1908.4000,10
1908.2000,10
1908.0000,10
1907.8000,-2.38116
1907.6000,10
1907.4000,10
1907.2000,10
1907.0000,10
1906.8000,10
1906.6000,10
1906.4000,-2.80124
1906.2000,-0.296795
1906.0000,10
1905.8000,10
1905.6000,1.79116
1905.4000,10
1905.2000,10
1905.0000,0
1904.8000,10
1904.6000,-0.398042
1904.4000,1.94329
1904.2000,2.62558
1904.0000,2.969
1903.8000,0
1903.6000,0
1903.4000,-0.630547
1903.2000,10
1903.0000,10
1902.8000,10
1902.6000,10
1902.4000,0
1902.2000,0
1902.0000,10
1901.8000,0.456745
1901.6000,10
1901.4000,10
1901.2000,10
1901.0000,-0.282863
1900.8000,-0.305517
1900.6000,0.0111318
1900.4000,10
1900.2000,10
1900.0000,10
1899.8000,-0.432218
1899.6000,10
1899.4000,0
1899.2000,2.14455
1899.0000,10
1898.8000,0.664922
1898.6000,10
1898.4000,1.96083
1898.2000,0
1898.0000,10
1897.8000,10
1897.6000,3.51717
1897.4000,10
1897.2000,10
1897.0000,10
1896.8000,0
1896.6000,10
1896.4000,10
1896.2000,10
1896.0000,2.93345
1895.8000,-0.244125
1895.6000,0
1895.4000,10
1895.2000,10
1895.0000,-0.37024
1894.8000,10
1894.6000,-0.246041
1894.4000,0.335861
1894.2000,10
1894.0000,-0.370981
1893.8000,3.48908
1893.6000,-2.73001
1893.4000,10
1893.2000,-3.36334
1893.0000,10
1892.8000,10
1892.6000,-0.395434
1892.4000,10
1892.2000,2.03892
1892.0000,0
1891.8000,2.96304
1891.6000,10
1891.4000,2.59971
1891.2000,0.417192
1891.0000,1.53018
1890.8000,0.39794
1890.6000,-0.276174
1890.4000,10
1890.2000,10
1890.0000,2.34277
1889.8000,1.72469
1889.6000,10
1889.4000,0
1889.2000,-3.45463
1889.0000,0.0315269
1888.8000,0.37251
1888.6000,10
1888.4000,2.16639
1888.2000,0
1888.0000,0.129413
1887.8000,2.83458
1887.6000,0.134899
1887.4000,10
1887.2000,10
1887.0000,10
1886.8000,10
1886.6000,10
1886.4000,1.14114
1886.2000,0.180456
1886.0000,10
1885.8000,10
1885.6000,1.9968
1885.4000,-2.02531
1885.2000,10
1885.0000,10
1884.8000,-0.215734
1884.6000,3.30337
1884.4000,10
1884.2000,10
1884.0000,0.739796
1883.8000,2.72877
1883.6000,2.89217
1883.4000,10
1883.2000,10
1883.0000,1.49093
1882.8000,0
1882.6000,3.1649
1882.4000,10
1882.2000,10
1882.0000,10
1881.8000,10
1881.6000,-1.27054
1881.4000,10
1881.2000,-2.16389
1881.0000,0
1880.8000,10
1880.6000,-0.523116
1880.4000,0
1880.2000,10
1880.0000,10
1879.7999,10
1879.6000,-1.16676
1879.4000,0.529106
1879.2000,-1.76008
1879.0000,10
1878.7999,10
1878.6000,-2.33217
1878.4000,0
1878.2000,10
1878.0000,0.0222764
1877.7999,10
1877.6000,10
1877.4000,10
1877.2000,10
1877.0000,10
1876.7999,10
1876.6000,10
1876.4000,10
1876.2000,10
1876.0000,10
1875.7999,-0.306478
1875.6000,-0.752367
1875.4000,10
1875.2000,0
1875.0000,10
1874.7999,2.03814
1874.6000,-2.64197
1874.4000,10
1874.2000,1.64401
1874.0000,10
1873.7999,-0.0828582
1873.6000,3.51317
1873.4000,10
1873.2000,1.40722
1873.0000,0
1872.7999,4.34132
1872.6000,10
1872.4000,3.12044
1872.2000,3.28971
1872.0000,2.99292
1871.7999,-1.04082
1871.6000,10
1871.4000,0
1871.2000,10
1871.0000,10
1870.7999,1.4042
1870.6000,10
1870.4000,0
1870.2000,-0.131191
1870.0000,0.198371
1869.7999,0
1869.6000,0.0583509
1869.4000,10
1869.2000,-2.28429
1869.0000,0.556536
1868.7999,0
1868.6000,10
1868.4000,1.08906
1868.2000,-0.545222
1868.0000,-3.51009
1867.7999,2.15999
1867.6000,10
1867.4000,10
1867.2000,0.137995
1867.0000,0.0178504
1866.7999,10
1866.6000,10
1866.4000,0
1866.2000,10
1866.0000,10
1865.7999,10
1865.6000,-0.90451
1865.4000,0
1865.2000,10
1865.0000,3.26159
1864.7999,-1.44445
1864.6000,10
1864.4000,10
1864.2000,1.07092
1864.0000,1.3409
1863.7999,0.0906041
1863.6000,-0.598592
1863.4000,2.24617
1863.2000,-2.65382
1863.0000,2.34191
1862.7999,10
1862.6000,0.115477
1862.4000,0.919361
1862.2000,-2.49053
1862.0000,10
1861.7999,10
1861.6000,1.99555
1861.4000,2.30401
1861.2000,-2.09063
1861.0000,10
1860.7999,10
1860.6000,1.79547
1860.4000,10
1860.2000,0
1860.0000,10
1859.7999,10
1859.6000,1.92522
1859.4000,-3.09203
1859.2000,10
1859.0000,10
1858.7999,0
1858.6000,0
1858.4000,10
1858.2000,0.0624366
1858.0000,3.70545
1857.7999,10
1857.6000,10
1857.4000,10
1857.2000,0.209644
1857.0000,10
1856.7999,10
1856.6000,-2.45232
1856.4000,10
1856.2000,0
1856.0000,10
1855.7999,10
1855.6000,-2.51047
1855.4000,-1.45279
1855.2000,1.22283
1855.0000,0
1854.7999,10
1854.6000,0.10446
1854.4000,10
1854.2000,10
1854.0000,10
1853.7999,10
1853.6000,0
1853.4000,0
1853.2000,0
1853.0000,10
1852.7999,10
1852.6000,-0.0889954
1852.4000,10
1852.2000,-0.540348
1852.0000,10
1851.7999,1.94146
1851.6000,3.06921
1851.4000,10
1851.2000,10
1851.0000,0.510385
1850.7999,10
1850.6000,10
1850.4000,10
1850.2000,10
1850.0000,10
1849.7999,-3.72428
1849.6000,10
1849.4000,-1.22042
1849.2000,0
1849.0000,0
1848.7999,1.16135
1848.6000,10
1848.4000,10
1848.2000,10
1848.0000,0.191099
1847.7999,-1.80265
1847.6000,10
1847.4000,10
1847.2000,-0.622615
1847.0000,10
1846.7999,-3.89487
1846.6000,0
1846.4000,2.35006
1846.2000,10
1846.0000,0.376241
1845.7999,-0.15007
1845.6000,10
1845.4000,10
1845.2000,0.00830354
1845.0000,0.328873
1844.7999,2.75188
1844.6000,10
1844.4000,10
1844.2000,0
1844.0000,10
1843.7999,0
1843.6000,10
1843.4000,2.71102
1843.2000,0.734117
1843.0000,10
1842.7999,10
1842.6000,-0.257676
1842.4000,10
1842.2000,4.02269
1842.0000,-1.81962
1841.7999,-0.392982
1841.6000,0.255931
1841.4000,10
1841.2000,10
1841.0000,2.55087
1840.7999,10
1840.6000,2.5677
1840.4000,10
1840.2000,1.55937
1840.0000,10
1839.7999,0.631492
1839.6000,-1.95461
1839.4000,0.542359
1839.2000,10
1839.0000,10
1838.7999,-0.846048
1838.6000,2.33694
1838.4000,10
1838.2000,10
1838.0000,-1.9854
1837.7999,1.17028
1837.6000,0
1837.4000,0.388814
1837.2000,1.12432
1837.0000,10
1836.7999,10
1836.6000,0.33584
1836.4000,-1.29454
1836.2000,10
1836.0000,10
1835.7999,-1.35436
1835.6000,1.00786
1835.4000,10
1835.2000,10
1835.0000,10
1834.7999,0
1834.6000,-1.58074
1834.4000,10
1834.2000,-1.45704
1834.0000,0.970072
1833.7999,10
1833.6000,10
1833.4000,-0.599956
1833.2000,3.32485
1833.0000,10
1832.7999,10
1832.6000,-3.1684
1832.4000,3.21843
1832.2000,0.19824
1832.0000,2.5845
1831.7999,2.31598
1831.6000,1.13832
1831.4000,10
1831.2000,0.0341775
1831.0000,-2.85761
1830.7999,0.178798
1830.6000,-0.515806
1830.4000,2.56858
1830.2000,-0.306791
1830.0000,10
1829.7999,0.0452988
1829.6000,10
1829.4000,10
1829.2000,-2.3551
1829.0000,10
1828.7999,10
1828.6000,0.199476
1828.4000,2.28634
1828.2000,-3.15506
1828.0000,-2.76324
1827.7999,10
1827.6000,10
1827.4000,-0.292336
1827.2000,-0.968233
1827.0000,10
1826.7999,10
1826.6000,0.667889
1826.4000,-2.76436
1826.2000,0.430538
1826.0000,10
1825.7999,10
1825.6000,10
1825.4000,0.120698
1825.2000,10
1825.0000,2.81139
1824.7999,-2.36037
1824.6000,3.91336
1824.4000,10
1824.2000,2.58519
1824.0000,10
1823.7999,10
1823.6000,10
1823.4000,10
1823.2000,10
1823.0000,10
1822.7999,10
1822.6000,10
1822.4000,10
1822.2000,10
1822.0000,0
1821.7999,10
1821.6000,10
1821.4000,10
1821.2000,10
1821.0000,-1.14858
1820.7999,0.209189
1820.6000,0.21386
1820.4000,10
1820.2000,2.06407
1820.0000,10
1819.7999,10
1819.6000,10
1819.4000,0.121707
1819.2000,0.137388
1819.0000,10
1818.7999,10
1818.6000,2.49645
1818.4000,10
1818.2000,-2.82779
1818.0000,2.1241
1817.7999,10
1817.6000,-1.36222
1817.4000,10
1817.2000,10
1817.0000,10
1816.7999,10
1816.6000,10
1816.4000,1.42452
1816.2000,1.14842
1816.0000,0.0615861
1815.7999,10
1815.6000,0
1815.4000,-2.59423
1815.2000,0.288681
1815.0000,0
1814.7999,10
1814.6000,10
1814.4000,10
1814.2000,10
1814.0000,0.285842
1813.7999,-0.541717
1813.6000,2.32046
1813.4000,0.413178
1813.2000,10
1813.0000,10
1812.7999,-2.52479
1812.6000,0.0333168
1812.4000,0.0535416
1812.2000,-2.10471
1812.0000,10
1811.7999,10
1811.6000,-0.0453433
1811.4000,10
1811.2000,10
1811.0000,0.0303972
1810.7999,1.02017
1810.6000,10
1810.4000,10
1810.2000,10
1810.0000,-2.05398
1809.7999,-1.27868
1809.6000,-0.728472
1809.4000,-0.289281
1809.2000,10
1809.0000,10
1808.7999,0.016527
1808.6000,0.249694
1808.4000,2.91427
1808.2000,-3.29655
1808.0000,0.526682
1807.7999,0.74527
1807.6000,0.175801
1807.4000,10
1807.2000,10
1807.0000,10
1806.7999,10
1806.6000,10
1806.4000,10
1806.2000,-0.42448
1806.0000,0.238744
1805.7999,0.158483
1805.6000,10
1805.4000,10
1805.2000,10
1805.0000,-0.219644
1804.7999,0.450216
1804.6000,10
1804.4000,10
1804.2000,0.919311
1804.0000,-1.30972
1803.7999,-2.46768
1803.6000,-0.745085
1803.4000,-0.272195
1803.2000,0
1803.0000,0
1802.7999,10
1802.6000,10
1802.4000,10
1802.2000,-0.116424
1802.0000,10
1801.7999,10
1801.6000,-3.34523
1801.4000,0.916648
1801.2000,10
1801.0000,2.34916
1800.7999,10
1800.6000,10
1800.4000,-2.84107
1800.2000,10
1800.0000,10
1799.7999,0.330724
1799.6000,-3.18342
1799.4000,-0.0579888
1799.2000,0.177746
1799.0000,10
1798.7999,10
1798.6000,10
1798.4000,10
1798.2000,3.30664
1798.0000,10
1797.7999,2.55248
1797.6000,0.00820983
1797.4000,1.66033
1797.2000,0.119186
1797.0000,0.286888
1796.7999,-3.34583
1796.6000,2.04403
1796.4000,-0.114697
1796.2000,-3.5178
1796.0000,0.0186304
1795.7999,-0.156918
1795.6000,10
1795.4000,1.12082
1795.2000,0.177281
1795.0000,-0.878062
1794.7999,1.14571
1794.6000,10
1794.4000,-0.404495
1794.2000,-0.387034
1794.0000,10
1793.7999,-3.00212
1793.6000,10
1793.4000,10
1793.2000,3.16572
1793.0000,2.73217
1792.7999,10
1792.6000,10
1792.4000,10
1792.2000,-0.783732
1792.0000,0.1953
1791.7999,-2.6366
1791.6000,10
1791.4000,2.31936
1791.2000,0.437631
1791.0000,1.32218
1790.7999,10
1790.6000,-3.1666
1790.4000,-1.08827
1790.2000,-1.54848
1790.0000,0.146721
1789.7999,10
1789.6000,10
1789.4000,-0.172196
1789.2000,-0.353084
1789.0000,10
1788.7999,-2.60663
1788.6000,0.235773
1788.4000,-3.00417
1788.2000,-0.161785
1788.0000,10
1787.7999,3.66277
1787.6000,0.209578
1787.4000,10
1787.2000,-2.41679
1787.0000,-0.366288
1786.7999,10
1786.6000,1.07045
1786.4000,-2.58974
1786.2000,10
1786.0000,0.0727259
1785.7999,10
1785.6000,-0.836421
1785.4000,0.237287
1785.2000,-3.03854
1785.0000,-0.24133
1784.7999,10
1784.6000,10
1784.4000,10
1784.2000,1.81217
1784.0000,-0.736972
1783.7999,0.568455
1783.6000,10
1783.4000,10
1783.2000,0.404129
1783.0000,10
1782.7999,-0.268944
1782.6000,-0.104286
1782.4000,10
1782.2000,-0.116877
1782.0000,10
1781.7999,-0.779477
1781.6000,10
1781.4000,10
1781.2000,10
1781.0000,10
1780.7999,0.117285
1780.6000,-2.99075
1780.4000,3.54787
1780.2000,0
1780.0000,-0.479024
1779.7999,0.644915
1779.6000,0.613659
1779.4000,0.476
1779.2000,0.318053
1779.0000,0.645392
1778.7999,10
1778.6000,10
1778.4000,-0.381157
1778.2000,-0.367136
1778.0000,-0.333442
1777.7999,0.0154558
1777.6000,-0.0693358
1777.4000,10
1777.2000,0.491502
1777.0000,10
1776.7999,-0.17165
1776.6000,3.51219
1776.4000,-0.420574
1776.2000,10
1776.0000,1.86952
1775.7999,10
1775.6000,-0.681725
1775.4000,1.43355
1775.2000,10
1775.0000,0.108148
1774.7999,0.332826
1774.6000,0.88799
1774.4000,-0.207231
1774.2000,0.613491
1774.0000,-3.43187
1773.7999,0.0329789
1773.6000,10
1773.4000,10
1773.2000,10
1773.0000,-0.297215
1772.7999,-0.0959715
1772.6000,0.144446
1772.4000,-3.35468
1772.2000,-0.116405
1772.0000,10
1771.7999,4.54413
1771.6000,-0.589015
1771.4000,-0.629049
1771.2000,0.166367
1771.0000,10
1770.7999,-2.45647
1770.6000,-0.210542
1770.4000,0.679256
1770.2000,-0.346381
1770.0000,-0.1205
1769.7999,10
1769.6000,10
1769.4000,10
1769.2000,10
1769.0000,-0.576608
1768.7999,0.162067
1768.6000,-3.18939
1768.4000,3.06285
1768.2000,-0.501316
1768.0000,-0.122101
1767.7999,-0.454789
1767.6000,0.239488
1767.4000,-3.2331
1767.2000,0.652808
1767.0000,10
1766.7999,-0.0921197
1766.6000,-0.136587
1766.4000,0.555048
1766.2000,-0.00521918
1766.0000,0.654808
1765.7999,0.0579276
1765.6000,0.667414
1765.4000,-0.0893579
1765.2000,0.0943969
1765.0000,-0.0254795
1764.7999,-0.434192
1764.6000,-0.213809
1764.4000,0.313157
1764.2000,-0.0267113
1764.0000,0.259006
1763.7999,0.118449
1763.6000,-0.649083
1763.4000,-0.0868501
1763.2000,0.640791
1763.0000,-0.0156886
1762.7999,-0.149596
1762.6000,0.741208
1762.4000,10
1762.2000,10
1762.0000,10
1761.7999,-0.178665
1761.6000,-0.278039
1761.4000,-0.142296
1761.2000,0.329346
1761.0000,0.631739
1760.7999,-0.15604
1760.6000,0.103241
1760.4000,-0.463336
1760.2000,0.221206
1760.0000,0.601672
1759.7999,10
1759.6000,-0.617599
1759.4000,0.286708
1759.2000,-2.83375
1759.0000,-0.0196461
1758.7999,-0.149614
1758.6000,0.183313
1758.4000,0.0686482
1758.2000,0.432563
1758.0000,0.288551
1757.7999,0.625233
1757.6000,0.071019
1757.4000,0.134583
1757.2000,-0.0175274
1757.0000,0.0139587
1756.7999,-0.0345536
1756.6000,0.139747
1756.4000,-0.0786409
1756.2000,-0.0726055
1756.0000,0.319937
1755.7999,0.108608
1755.6000,0.368571
1755.4000,0.449821
1755.2000,-0.311054
1755.0000,0.0472165
1754.7999,0.159729
1754.6000,0.247958
1754.4000,0.179795
1754.2000,-0.168313
1754.0000,0.195626
1753.7999,-0.107788
1753.6000,0.246392
1753.4000,0.301419
1753.2000,0.156558
1753.0000,-0.0115566
1752.7999,0.217499
1752.6000,-0.0826645
1752.4000,-0.0679577
1752.2000,0.139531
1752.0000,0.121528
1751.7999,-0.144152
1751.6000,0.125026
1751.4000,-0.175056
1751.2000,0.261931
1751.0000,0.144266
1750.7999,0.0280009
1750.6000,0.218909
1750.4000,-0.167578
1750.2000,0.156371
1750.0000,0.193949
1749.7999,-0.0303836
1749.6000,0.102966
1749.4000,0.103055
1749.2000,-0.110284
1749.0000,0.0949978
1748.7999,0.280692
1748.6000,0.0759841
1748.4000,-0.0653767
1748.2000,0.200282
1748.0000,-0.0115835
1747.7999,0.104696
1747.6000,-0.0526993
1747.4000,0.0975896
1747.2000,0.126948
1747.0000,-0.0664974
1746.7999,0.0782859
1746.6000,-0.0637639
1746.4000,0.0113575
1746.2000,0.10115
1746.0000,-0.104982
1745.7999,0.126065
1745.6000,0.0651477
1745.4000,-0.080492
1745.2000,-0.00711193
1745.0000,0.139837
1744.7999,0.079174
1744.6000,-0.00636433
1744.4000,-0.0386316
1744.2000,-0.105243
1744.0000,0.242477
1743.7999,0.0124307
1743.6000,0.115215
1743.4000,0.147697
1743.2000,-0.036783
1743.0000,-0.131523
1742.7999,0.106416
1742.6000,-0.100694
1742.4000,0.0268941
1742.2000,-0.220704
1742.0000,-0.159076
1741.7999,-0.0204015
1741.6000,0.171886
1741.4000,0.0951335
1741.2000,0.198736
1741.0000,0.0150192
1740.7999,0.0646707
1740.6000,0.148478
1740.4000,0.0582793
1740.2000,-0.104949
1740.0000,-0.0564414
1739.7999,-0.0694757
1739.6000,0.125568
1739.4000,-0.0142817
1739.2000,0.00313893
1739.0000,0.0952017
1738.7999,-0.0132803
1738.6000,0.046863
1738.4000,-0.0162843
1738.2000,0.0633082
1738.0000,0.12615
1737.7999,0.0216916
1737.6000,-0.0835891
1737.4000,-0.0101508
1737.2000,-0.0203153
1737.0000,0.0685111
1736.7999,0.0272327
1736.6000,0.0824091
1736.4000,-0.0612399
1736.2000,0.0589463
1736.0000,-0.126496
1735.7999,0.00470865
1735.6000,-0.0782319
1735.4000,-0.0678718
1735.2000,-0.109526
1735.0000,0.0192432
1734.7999,0.00669466
1734.6000,0.20171
1734.4000,0.0397351
1734.2000,0.0949557
1734.0000,0.048928
1733.7999,0.0678216
1733.6000,-0.0877532
1733.4000,0.0735633
1733.2000,-0.0605028
1733.0000,0.0585894
1732.7999,-0.0400969
1732.6000,-0.0641829
1732.4000,-0.0478327
1732.2000,0.0122219
1732.0000,0.0339995
1731.7999,0.0580136
1731.6000,-0.0452999
1731.4000,0.0460482
1731.2000,0.0522848
1731.0000,0.00370204
1730.7999,0.0135263
1730.6000,0.00562976
1730.4000,-0.00440313
1730.2000,-0.0408416
1730.0000,0.0474001
1729.7999,-0.0250741
1729.6000,0.106308
1729.4000,0.0227179
1729.2000,-0.0770684
1729.0000,-0.0227118
1728.7999,-0.0643022
1728.6000,-0.136812
1728.4000,0.0161536
1728.2000,-0.107223
1728.0000,0.0418232
1727.7999,-0.101536
1727.6000,0.0112126
1727.4000,0.0361288
1727.2000,0.0569723
1727.0000,0.027899
1726.7999,0.0769838
1726.6000,-0.0625559
1726.4000,0.0306497
1726.2000,-0.0159081
1726.0000,-0.0213866
1725.7999,-0.0521225
1725.6000,0.012833
1725.4000,-0.0561026
1725.2000,0.0449755
1725.0000,-0.0272687
1724.7999,-0.015487
1724.6000,-0.0220153
1724.4000,-0.0160632
1724.2000,0.00420432
1724.0000,0.0418726
1723.7999,0.068783
1723.6000,0.0117666
1723.4000,0.0220086
1723.2000,-0.0206479
1723.0000,-0.0354109
1722.7999,-0.038216
1722.6000,-0.100557
1722.4000,-0.0317397
1722.2000,0.0599989
1722.0000,0.0355171
1721.7999,0.0727718
1721.6000,-0.00231552
1721.4000,0.0468584
1721.2000,0.0012516
1721.0000,-0.00864468
1720.7999,0.0257581
1720.6000,0.0580911
1720.4000,-0.0159794
1720.2000,0.00472236
1720.0000,-0.0115739
1719.7999,0.031857
1719.6000,-0.0603695
1719.4000,0.0215296
1719.2000,0.0192411
1719.0000,0.0399901
1718.7999,-0.000376665
1718.6000,0.0512069
1718.4000,0.0112563
1718.2000,-0.0716024
1718.0000,0.0090843
1717.7999,0.0163689
1717.6000,-0.0352089
1717.4000,0.0258946
1717.2000,-0.0494161
1717.0000,0.00176686
1716.7999,0.0660281
1716.6000,-0.0025896
1716.4000,0.0312048
1716.2000,0.00417932
1716.0000,-0.0286803
1715.7999,-0.0381804
1715.6000,0.0205679
1715.4000,0.035463
1715.2000,0.0549138
1715.0000,0.00927739
1714.7999,0.00925885
1714.6000,0.0372308
1714.4000,-0.00441423
1714.2000,0.00119311
1714.0000,0.04197
1713.7999,-0.019529
1713.6000,0.0269128
1713.4000,-0.00477764
1713.2000,0.0436488
1713.0000,0.0551707
1712.7999,-0.000144851
1712.6000,0.0258571
1712.4000,0.00810876
1712.2000,-0.00495532
1712.0000,-0.0123432
1711.7999,0.0307595
1711.6000,-0.0494593
1711.4000,0.0168075
1711.2000,0.0570816
1711.0000,0.0380689
1710.7999,0.00837347
1710.6000,0.00558925
1710.4000,-0.0143041
1710.2000,0.0643337
1710.0000,-0.0354145
1709.7999,-0.00703385
1709.6000,-0.0292085
1709.4000,0.023844
1709.2000,-0.0148073
1709.0000,0.0373919
1708.7999,0.0127425
1708.6000,0.00135901
1708.4000,-0.0299453
1708.2000,0.0162889
1708.0000,0.0136516
1707.7999,0.0895773
1707.6000,0.0508591
1707.4000,0.0566461
1707.2000,-0.0225136
1707.0000,0.00906772
1706.7999,0.0520544
1706.6000,-0.0406592
1706.4000,0.00105401
1706.2000,0.000645157
1706.0000,0.014724
1705.7999,0.0357947
1705.6000,-0.0309947
1705.4000,0.014449
1705.2000,0.0640997
1705.0000,0.0124482
1704.7999,0.0486787
1704.6000,0.0130718
1704.4000,0.0285889
1704.2000,-0.0147747
1704.0000,0.0652756
1703.7999,-0.0717266
1703.6000,0.0705401
1703.4000,0.0600663
1703.2000,0.0351904
1703.0000,0.0105886
1702.7999,0.0499851
1702.6000,-0.0379015
1702.4000,0.0145993
1702.2000,-0.0176059
1702.0000,0.0484004
1701.7999,-0.0801717
1701.6000,0.0303078
1701.4000,0.00152077
1701.2000,0.00790115
1701.0000,-0.0693833
1700.7999,-0.00973384
1700.6000,-0.0903358
1700.4000,-0.0201757
1700.2000,0.0562676
1700.0000,0.0145688
1699.7999,-0.0461097
1699.6000,0.0124525
1699.4000,-0.018767
1699.2000,0.0692799
1699.0000,0.0169268
1698.7999,-0.0382889
1698.6000,0.0084176
1698.4000,-0.0430648
1698.2000,0.0275698
1698.0000,0.0374147
1697.7999,0.0244808
1697.6000,-0.00447853
1697.4000,0.0575729
1697.2000,-0.033637
1697.0000,-0.000675346
1696.7999,-0.0166003
1696.6000,-0.0273364
1696.4000,-0.0747332
1696.2000,0.0760262
1696.0000,-0.0181531
1695.7999,0.0449401
1695.6000,-0.0370329
1695.4000,0.043258
1695.2000,0.0639939
1695.0000,0.0457389
1694.7999,-0.00991461
1694.6000,0.0424702
1694.4000,-0.0541704
1694.2000,0.062683
1694.0000,-0.00693149
1693.7999,0.0178925
1693.6000,-0.0352504
