TITLE,Sucrose_0.04M
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,1
DATE,21/01/25
TIME,12:48:41
SPECTROMETER/DATA SYSTEM,
LOCALE,16393
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX, 2700.0000
LASTX,  200.0000
NPOINTS,   12501
FIRSTY,    10.00000
MAXY,    10.00000
MINY,    -6.23199
XYDATA
2700.0000,10
2699.8000,0.16302
2699.6001,0.571225
2699.3999,0.42254
2699.2000,-0.17201
2699.0000,0.428967
2698.8000,1.79588
2698.6001,10
2698.3999,10
2698.2000,2.46992
2698.0000,10
2697.8000,2.82468
2697.6001,10
2697.3999,10
2697.2000,0.735264
2697.0000,10
2696.8000,10
2696.6001,10
2696.3999,10
2696.2000,10
2696.0000,10
2695.8000,10
2695.6001,10
2695.3999,10
2695.2000,10
2695.0000,-1.90283
2694.8000,-3.08496
2694.6001,3.28089
2694.3999,10
2694.2000,10
2694.0000,-1.91688
2693.8000,0
2693.6001,0
2693.3999,0
2693.2000,-0.52366
2693.0000,10
2692.8000,10
2692.6001,0
2692.3999,10
2692.2000,10
2692.0000,0
2691.8000,10
2691.6001,0
2691.3999,-0.771405
2691.2000,10
2691.0000,0
2690.8000,0
2690.6001,10
2690.3999,-0.731017
2690.2000,10
2690.0000,0
2689.8000,0
2689.6001,10
2689.3999,10
2689.2000,-2.22343
2689.0000,1.49324
2688.8000,2.22821
2688.6001,10
2688.3999,0.0674643
2688.2000,-2.35218
2688.0000,1.63341
2687.8000,-2.02089
2687.6001,0
2687.3999,10
2687.2000,10
2687.0000,10
2686.8000,10
2686.6001,10
2686.3999,0.487101
2686.2000,-2.26724
2686.0000,0
2685.8000,-3.1138
2685.6001,2.81767
2685.3999,0
2685.2000,-1.94788
2685.0000,0
2684.8000,10
2684.6001,10
2684.3999,10
2684.2000,-2.51354
2684.0000,0.138312
2683.8000,-3.23207
2683.6001,0.896958
2683.3999,-2.67933
2683.2000,1.17149
2683.0000,-0.798086
2682.8000,10
2682.6001,-1.34862
2682.3999,0
2682.2000,0
2682.0000,10
2681.8000,2.16302
2681.6001,0.376694
2681.3999,-0.302983
2681.2000,10
2681.0000,10
2680.8000,2.2122
2680.6001,0
2680.3999,-0.113509
2680.2000,10
2680.0000,10
2679.8000,1.63565
2679.6001,10
2679.3999,10
2679.2000,0
2679.0000,-2.49852
2678.8000,10
2678.6001,10
2678.3999,0
2678.2000,10
2678.0000,-3.02174
2677.8000,2.98521
2677.6001,0
2677.3999,0
2677.2000,0
2677.0000,10
2676.8000,0
2676.6001,0.0177288
2676.3999,10
2676.2000,0.455163
2676.0000,10
2675.8000,10
2675.6001,10
2675.3999,10
2675.2000,-0.229106
2675.0000,-0.722666
2674.8000,-2.61866
2674.6001,0
