TITLE,Sucrose_0.04M
2674.3999,0
2674.2000,10
2674.0000,10
2673.8000,10
2673.6001,-0.781009
2673.3999,2.57373
2673.2000,10
2673.0000,-1.03384
2672.8000,10
2672.6001,10
2672.3999,10
2672.2000,-2.70722
2672.0000,10
2671.8000,0
2671.6001,10
2671.3999,2.12284
2671.2000,-0.771756
2671.0000,1.11385
2670.8000,10
2670.6001,10
2670.3999,10
2670.2000,0
2670.0000,-0.0132283
2669.8000,-0.850184
2669.6001,-1.73152
2669.3999,-3.63911
2669.2000,0.518015
2669.0000,10
2668.8000,0
2668.6001,1.54298
2668.3999,0.853901
2668.2000,10
2668.0000,0
2667.8000,10
2667.6001,10
2667.3999,-0.12077
2667.2000,-0.130768
2667.0000,2.64743
2666.8000,10
2666.6001,10
2666.3999,10
2666.2000,10
2666.0000,0.0699561
2665.8000,10
2665.6001,10
2665.3999,10
2665.2000,10
2665.0000,10
2664.8000,10
2664.6001,0
2664.3999,-0.537602
2664.2000,10
2664.0000,0.720015
2663.8000,10
2663.6001,10
2663.3999,-3.09095
2663.2000,10
2663.0000,0
2662.8000,10
2662.6001,10
2662.3999,10
2662.2000,10
2662.0000,10
2661.8000,0
2661.6001,10
2661.3999,-0.317221
2661.2000,10
2661.0000,-2.10763
2660.8000,-1.67549
2660.6001,10
2660.3999,2.6324
2660.2000,-3.05401
2660.0000,-3.26153
2659.8000,0
2659.6001,10
2659.3999,-0.297843
2659.2000,10
2659.0000,10
2658.8000,10
2658.6001,10
2658.3999,0
2658.2000,-2.3343
2658.0000,0
2657.8000,10
2657.6001,10
2657.3999,-0.325526
2657.2000,0.0271499
2657.0000,-0.994776
2656.8000,10
2656.6001,10
2656.3999,-1.30964
2656.2000,10
2656.0000,-0.325204
2655.8000,0
2655.6001,2.19936
2655.3999,-0.124939
2655.2000,-2.78654
2655.0000,2.29491
2654.8000,-0.678458
2654.6001,10
2654.3999,10
2654.2000,10
2654.0000,10
2653.8000,10
2653.6001,0.688465
2653.3999,0
2653.2000,-1.46933
2653.0000,10
2652.8000,-2.93924
2652.6001,10
2652.3999,10
2652.2000,10
2652.0000,10
2651.8000,10
2651.6001,10
2651.3999,-0.7627
2651.2000,10
2651.0000,0
2650.8000,0
2650.6001,0
2650.3999,10
2650.2000,0
2650.0000,-1.66711
2649.8000,10
2649.6001,10
2649.3999,-0.70123
2649.2000,10
2649.0000,10
2648.8000,-3.84597
2648.6001,0.6617
2648.3999,-0.0762713
2648.2000,10
2648.0000,10
2647.8000,-0.537066
2647.6001,10
2647.3999,10
2647.2000,0
2647.0000,0
2646.8000,0
2646.6001,10
2646.3999,-2.66935
2646.2000,10
2646.0000,-0.638272
2645.8000,-1.8949
2645.6001,10
2645.3999,10
2645.2000,0
2645.0000,0.299851
2644.8000,2.17035
2644.6001,0
2644.3999,10
2644.2000,0
2644.0000,10
2643.8000,-0.453362
2643.6001,-2.35347
2643.3999,-2.67273
2643.2000,10
2643.0000,-0.126097
2642.8000,10
2642.6001,0.0843515
2642.3999,10
2642.2000,10
2642.0000,-1.16725
2641.8000,10
2641.6001,0
2641.3999,1.41515
2641.2000,-0.059049
2641.0000,0.138346
2640.8000,0.370216
2640.6001,-0.836536
2640.3999,0
2640.2000,-1.77982
2640.0000,10
2639.8000,-0.485503
2639.6001,10
2639.3999,10
2639.2000,-0.576264
2639.0000,-0.168857
2638.8000,-2.97745
2638.6001,10
2638.3999,10
2638.2000,10
2638.0000,10
2637.8000,2.35628
2637.6001,1.87753
2637.3999,10
2637.2000,10
2637.0000,0
2636.8000,0.0875806
2636.6001,-0.264291
2636.3999,10
2636.2000,10
2636.0000,0
2635.8000,-0.249091
2635.6001,-0.508965
2635.3999,10
2635.2000,-3.43779
2635.0000,10
2634.8000,10
2634.6001,10
2634.3999,10
2634.2000,10
2634.0000,10
2633.8000,10
2633.6001,10
2633.3999,-0.801546
2633.2000,0.421446
2633.0000,1.52288
2632.8000,0
2632.6001,10
2632.3999,-0.144346
2632.2000,2.86442
2632.0000,0.167491
2631.8000,0
2631.6001,-1.13358
2631.3999,10
2631.2000,10
2631.0000,10
2630.8000,10
2630.6001,10
2630.3999,10
2630.2000,0
2630.0000,0
2629.8000,10
2629.6001,1.1198
2629.3999,0.323479
2629.2000,10
2629.0000,10
2628.8000,-3.32392
2628.6001,0
2628.3999,3.06234
2628.2000,3.54507
2628.0000,10
2627.8000,10
2627.6001,1.16604
2627.3999,0
2627.2000,0
2627.0000,-1.13492
2626.8000,0.921668
2626.6001,10
2626.3999,-1.18577
2626.2000,10
2626.0000,10
2625.8000,-2.35336
2625.6001,0.746416
2625.3999,10
2625.2000,10
2625.0000,10
2624.8000,0
2624.6001,-3.02451
2624.3999,0.0737342
2624.2000,0
2624.0000,10
2623.8000,10
2623.6001,1.11429
2623.3999,0
2623.2000,-3.32673
2623.0000,-3.46789
2622.8000,0
2622.6001,10
2622.3999,10
2622.2000,10
2622.0000,10
2621.8000,10
2621.6001,10
2621.3999,10
2621.2000,2.39924
2621.0000,10
2620.8000,10
2620.6001,-0.478013
2620.3999,-0.268674
2620.2000,10
2620.0000,10
2619.8000,10
2619.6001,10
2619.3999,10
2619.2000,10
2619.0000,-2.17865
2618.8000,10
2618.6001,-0.996759
2618.3999,0
2618.2000,10
2618.0000,0
2617.8000,0
2617.6001,10
2617.3999,10
2617.2000,10
2617.0000,10
2616.8000,-1.46093
2616.6001,10
2616.3999,0.118543
2616.2000,10
2616.0000,10
2615.8000,10
2615.6001,-3.36537
2615.3999,0.299815
2615.2000,-0.441011
2615.0000,10
2614.8000,10
2614.6001,10
2614.3999,0
2614.2000,10
2614.0000,10
2613.8000,10
2613.6001,1.04224
2613.3999,2.01576
2613.2000,10
2613.0000,10
2612.8000,10
2612.6001,10
2612.3999,10
2612.2000,10
2612.0000,1.79251
2611.8000,2.70048
2611.6001,2.81645
2611.3999,0
2611.2000,10
2611.0000,10
2610.8000,10
2610.6001,-0.142668
2610.3999,10
2610.2000,10
2610.0000,-2.22403
2609.8000,-0.608582
2609.6001,0.194175
2609.3999,-0.336033
2609.2000,10
2609.0000,2.98111
2608.8000,0.0263289
2608.6001,0.923238
2608.3999,-3.37107
2608.2000,10
2608.0000,10
2607.8000,-0.458144
2607.6001,0
2607.3999,1.63307
2607.2000,10
2607.0000,0.434979
2606.8000,10
2606.6001,1.681
2606.3999,0.46597
2606.2000,10
2606.0000,-0.353894
2605.8000,-2.81967
2605.6001,10
2605.3999,10
2605.2000,0
2605.0000,10
2604.8000,10
2604.6001,1.1916
2604.3999,0
2604.2000,0
2604.0000,0
2603.8000,10
2603.6001,0
2603.3999,-0.319837
2603.2000,10
2603.0000,-1.05425
2602.8000,10
2602.6001,-0.175613
2602.3999,2.82913
2602.2000,10
2602.0000,-1.19001
2601.8000,10
2601.6001,10
2601.3999,-2.56427
2601.2000,3.3545
2601.0000,10
2600.8000,-0.18972
2600.6001,-1.21903
2600.3999,-1.41358
2600.2000,10
2600.0000,10
2599.8000,0
2599.6001,10
2599.3999,10
2599.2000,10
2599.0000,10
2598.8000,-3.00906
2598.6001,-2.4262
2598.3999,1.77717
2598.2000,-1.56733
2598.0000,-0.00949471
2597.8000,-0.130659
2597.6001,10
2597.3999,10
2597.2000,10
2597.0000,-1.64294
2596.8000,2.84739
2596.6001,10
2596.3999,-1.12107
2596.2000,10
2596.0000,10
2595.8000,10
2595.6001,10
2595.3999,10
2595.2000,10
2595.0000,10
2594.8000,0
2594.6001,1.17354
2594.3999,10
2594.2000,0
2594.0000,10
2593.8000,10
2593.6001,10
2593.3999,10
2593.2000,10
2593.0000,10
2592.8000,-2.10108
2592.6001,0
2592.3999,0.667775
2592.2000,0
2592.0000,0.221849
2591.8000,0.810279
2591.6001,10
2591.3999,0
2591.2000,10
2591.0000,10
2590.8000,-1.54091
2590.6001,10
2590.3999,-2.39178
2590.2000,3.80956
2590.0000,0
2589.8000,-1.2532
2589.6001,-3.47227
2589.3999,-0.148823
2589.2000,10
2589.0000,-0.853872
2588.8000,10
2588.6001,0
2588.3999,10
2588.2000,10
2588.0000,0
2587.8000,-1.37203
2587.6001,10
2587.3999,-0.141331
2587.2000,0.850936
2587.0000,10
2586.8000,10
2586.6001,1.12105
2586.3999,0.580453
2586.2000,-2.78605
2586.0000,10
2585.8000,10
2585.6001,10
2585.3999,10
2585.2000,2.15112
2585.0000,1.61732
2584.8000,10
2584.6001,10
2584.3999,10
2584.2000,0.0111162
2584.0000,2.72221
2583.8000,0.0204518
2583.6001,10
2583.3999,10
2583.2000,-0.176275
2583.0000,10
2582.8000,0.774691
2582.6001,10
2582.3999,-0.516798
2582.2000,-0.72617
2582.0000,-1.81315
2581.8000,0.479322
2581.6001,-0.137598
2581.3999,10
2581.2000,10
2581.0000,10
2580.8000,10
2580.6001,10
2580.3999,-1.80543
2580.2000,10
2580.0000,0
2579.8000,0.00157105
2579.6001,10
2579.3999,-0.526828
2579.2000,3.19609
2579.0000,10
2578.8000,2.13723
2578.6001,10
2578.3999,10
2578.2000,2.17026
2578.0000,10
2577.8000,0.140101
2577.6001,-1.87261
2577.3999,2.73671
2577.2000,1.97054
2577.0000,-0.178669
2576.8000,0.179701
2576.6001,0.248161
2576.3999,10
2576.2000,0.0858092
2576.0000,10
2575.8000,10
2575.6001,10
2575.3999,0
2575.2000,1.76176
2575.0000,10
2574.8000,10
2574.6001,1.90719
2574.3999,-2.41729
2574.2000,10
2574.0000,10
2573.8000,1.45394
2573.6001,0.528176
2573.3999,0
2573.2000,0
2573.0000,0
2572.8000,10
2572.6001,10
2572.3999,10
2572.2000,-3.55867
2572.0000,-0.755947
2571.8000,-0.657577
2571.6001,10
2571.3999,10
2571.2000,0.350583
2571.0000,10
2570.8000,10
2570.6001,0
2570.3999,10
2570.2000,0
2570.0000,0.845631
2569.8000,10
2569.6001,0.573345
2569.3999,-1.65699
2569.2000,-1.54971
2569.0000,-2.62142
2568.8000,-0.141759
2568.6001,0
2568.3999,10
2568.2000,-1.16279
2568.0000,-0.993396
2567.8000,10
2567.6001,0
2567.3999,10
2567.2000,10
2567.0000,-2.20046
2566.8000,-3.11975
2566.6001,10
2566.3999,-1.13236
2566.2000,10
2566.0000,1.65678
2565.8000,-2.00066
2565.6001,0
2565.3999,10
2565.2000,0
2565.0000,10
2564.8000,-0.714791
2564.6001,0
2564.3999,0
2564.2000,2.63564
2564.0000,3.83236
2563.8000,0.289601
2563.6001,10
2563.3999,-1.71338
2563.2000,2.98223
2563.0000,-2.07807
2562.8000,10
2562.6001,-2.43756
2562.3999,10
2562.2000,0.0132283
2562.0000,10
2561.8000,10
2561.6001,10
2561.3999,10
2561.2000,10
2561.0000,0.33892
2560.8000,10
2560.6001,4.03926
2560.3999,0
2560.2000,-0.761601
2560.0000,-0.482601
2559.8000,10
2559.6001,10
2559.3999,10
2559.2000,10
2559.0000,0
2558.8000,0.0705811
2558.6001,10
2558.3999,10
2558.2000,2.58504
2558.0000,10
2557.8000,10
2557.6001,10
2557.3999,10
2557.2000,10
2557.0000,-4.17816
2556.8000,0
2556.6001,10
2556.3999,10
2556.2000,10
2556.0000,1.81841
2555.8000,10
2555.6001,0
2555.3999,0
2555.2000,10
2555.0000,10
2554.8000,10
2554.6001,10
2554.3999,0
2554.2000,0
2554.0000,10
2553.8000,10
2553.6001,0
2553.3999,10
2553.2000,10
2553.0000,10
2552.8000,10
2552.6001,0.455932
2552.3999,10
2552.2000,10
2552.0000,0.366532
2551.8000,10
2551.6001,0
2551.3999,2.08874
2551.2000,-2.54748
2551.0000,1.20198
2550.8000,10
2550.6001,0.101535
2550.3999,0.0386446
2550.2000,10
2550.0000,10
2549.8000,10
2549.6001,0
2549.3999,10
2549.2000,10
2549.0000,10
2548.8000,-1.02424
2548.6001,1.53365
2548.3999,-0.990122
2548.2000,0.640375
2548.0000,10
2547.8000,10
2547.6001,-1.91749
2547.3999,-0.489592
2547.2000,10
2547.0000,0
2546.8000,0
2546.6001,1.98339
2546.3999,0.683313
2546.2000,-1.56477
2546.0000,0.0217479
2545.8000,0.341866
2545.6001,2.75164
2545.3999,0.293973
2545.2000,10
2545.0000,1.654
2544.8000,-2.72583
2544.6001,10
2544.3999,0.85207
2544.2000,-1.30103
2544.0000,10
2543.8000,10
2543.6001,10
2543.3999,0
2543.2000,0
2543.0000,-2.03355
2542.8000,10
2542.6001,10
2542.3999,10
2542.2000,1.68197
2542.0000,-0.97994
2541.8000,-2.1696
2541.6001,10
2541.3999,10
2541.2000,0.58392
2541.0000,10
2540.8000,1.60064
2540.6001,-0.5503
2540.3999,0
2540.2000,10
2540.0000,0
2539.8000,10
2539.6001,10
2539.3999,10
2539.2000,-0.998594
2539.0000,-1.76726
2538.8000,10
2538.6001,-1.84785
2538.3999,0
2538.2000,0.0352205
2538.0000,1.34006
2537.8000,0
2537.6001,10
2537.3999,-0.139324
2537.2000,10
2537.0000,10
2536.8000,10
2536.6001,10
2536.3999,10
2536.2000,-2.97285
2536.0000,0
2535.8000,10
2535.6001,10
2535.3999,0.268985
2535.2000,10
2535.0000,0
2534.8000,-0.510727
2534.6001,-2.41871
2534.3999,0
2534.2000,10
2534.0000,10
2533.8000,10
2533.6001,10
2533.3999,0
2533.2000,10
2533.0000,10
2532.8000,10
2532.6001,0
2532.3999,10
2532.2000,10
2532.0000,10
2531.8000,1.08758
2531.6001,0.841047
2531.3999,1.55877
2531.2000,10
2531.0000,10
2530.8000,10
2530.6001,-2.42944
2530.3999,-0.403444
2530.2000,3.75234
2530.0000,10
2529.8000,10
2529.6001,10
2529.3999,10
2529.2000,-0.0884742
2529.0000,2.40324
2528.8000,10
2528.6001,2.94683
2528.3999,10
2528.2000,10
2528.0000,0
2527.8000,2.39504
2527.6001,3.28019
2527.3999,-0.50916
2527.2000,10
2527.0000,-0.191783
2526.8000,10
2526.6001,2.10789
2526.3999,-2.21242
2526.2000,3.08851
2526.0000,0
2525.8000,-2.29091
2525.6001,2.75103
2525.3999,-1.01179
2525.2000,0
2525.0000,10
2524.8000,10
2524.6001,2.76881
2524.3999,10
2524.2000,-2.74489
2524.0000,10
2523.8000,-2.75185
2523.6001,10
2523.3999,-1.1765
2523.2000,10
2523.0000,10
2522.8000,0.906319
2522.6001,0.563686
2522.3999,10
2522.2000,-0.237855
2522.0000,10
2521.8000,10
2521.6001,0
2521.3999,0
2521.2000,1.89566
2521.0000,-0.639008
2520.8000,10
2520.6001,10
2520.3999,10
2520.2000,10
2520.0000,10
2519.8000,-1.4076
2519.6001,-0.695811
2519.3999,10
2519.2000,10
2519.0000,0
2518.8000,0
2518.6001,10
2518.3999,2.21249
2518.2000,-0.63976
2518.0000,10
2517.8000,10
2517.6001,-0.89814
2517.3999,10
2517.2000,-2.83793
2517.0000,0
2516.8000,-0.0318241
2516.6001,10
2516.3999,1.08321
2516.2000,10
2516.0000,-1.17216
2515.8000,0
2515.6001,-0.422397
2515.3999,-0.157073
2515.2000,-0.160684
2515.0000,0.366226
2514.8000,-2.39227
2514.6001,10
2514.3999,10
2514.2000,10
2514.0000,10
2513.8000,10
2513.6001,10
2513.3999,2.74819
2513.2000,-1.37353
2513.0000,10
2512.8000,-2.50507
2512.6001,10
2512.3999,10
2512.2000,0
2512.0000,0
2511.8000,0
2511.6001,-2.54325
2511.3999,10
2511.2000,-2.05985
2511.0000,0
2510.8000,-0.207164
2510.6001,1.83038
2510.3999,-0.587131
2510.2000,10
2510.0000,0
2509.8000,0
2509.6001,0
2509.3999,0
2509.2000,10
2509.0000,10
2508.8000,10
2508.6001,0
2508.3999,10
2508.2000,10
2508.0000,10
2507.8000,10
2507.6001,10
2507.3999,10
2507.2000,10
2507.0000,10
2506.8000,-2.4019
2506.6001,10
2506.3999,10
2506.2000,10
2506.0000,-0.139145
2505.8000,1.82019
2505.6001,0
2505.3999,0
2505.2000,10
2505.0000,-2.90574
2504.8000,10
2504.6001,10
2504.3999,0.154626
2504.2000,10
2504.0000,-0.00436481
2503.8000,0.210771
2503.6001,10
2503.3999,10
2503.2000,1.23109
2503.0000,10
2502.8000,10
2502.6001,10
2502.3999,0
2502.2000,10
2502.0000,2.467
2501.8000,2.6523
2501.6001,0.0670007
2501.3999,10
2501.2000,-0.0132283
2501.0000,10
2500.8000,10
2500.6001,0.219102
2500.3999,3.18705
2500.2000,10
2500.0000,10
2499.8000,0
2499.6001,0
2499.3999,10
2499.2000,0.655973
2499.0000,0
2498.8000,-2.02249
2498.6001,10
2498.3999,10
2498.2000,10
2498.0000,10
2497.8000,1.031
2497.6001,-0.805054
2497.3999,1.40388
2497.2000,10
2497.0000,2.17079
2496.8000,10
2496.6001,2.98142
2496.3999,10
2496.2000,0.367899
2496.0000,10
2495.8000,0
2495.6001,10
2495.3999,10
2495.2000,-2.20448
2495.0000,10
2494.8000,-0.32265
2494.6001,2.73327
2494.3999,0
2494.2000,10
2494.0000,10
2493.8000,-1.71999
2493.6001,-0.391402
2493.3999,10
2493.2000,-1.61375
2493.0000,0
2492.8000,10
2492.6001,2.76473
2492.3999,10
2492.2000,0
2492.0000,-0.01357
2491.8000,1.98335
2491.6001,0
2491.3999,0
2491.2000,0
2491.0000,3.05687
2490.8000,10
2490.6001,2.73674
2490.3999,0.6067
2490.2000,10
2490.0000,2.79051
2489.8000,10
2489.6001,10
2489.3999,0
2489.2000,4.09283
2489.0000,0.300723
2488.8000,0.348908
2488.6001,2.65232
2488.3999,2.74544
2488.2000,10
2488.0000,-1.21174
2487.8000,0.309804
2487.6001,10
2487.3999,10
2487.2000,-1.65523
2487.0000,10
2486.8000,10
2486.6001,10
2486.3999,10
2486.2000,10
2486.0000,0.757948
2485.8000,10
2485.6001,10
2485.3999,-0.216573
2485.2000,-0.0268721
2485.0000,-3.45102
2484.8000,10
2484.6001,10
2484.3999,1.27195
2484.2000,10
2484.0000,-0.259903
2483.8000,10
2483.6001,0
2483.3999,10
2483.2000,-0.0301403
2483.0000,10
2482.8000,10
2482.6001,1.92125
2482.3999,2.7448
2482.2000,10
2482.0000,10
2481.8000,10
2481.6001,-2.52181
2481.3999,-3.00883
2481.2000,10
2481.0000,-0.820854
2480.8000,10
2480.6001,-3.43879
2480.3999,10
2480.2000,-3.06896
2480.0000,0
2479.8000,10
2479.6001,-0.412534
2479.3999,-3.90013
2479.2000,-0.980459
2479.0000,0
2478.8000,1.11447
2478.6001,10
2478.3999,10
2478.2000,10
2478.0000,2.76992
2477.8000,-0.454374
2477.6001,10
2477.3999,10
2477.2000,0
2477.0000,0
2476.8000,10
2476.6001,10
2476.3999,10
2476.2000,10
2476.0000,10
2475.8000,10
2475.6001,0
2475.3999,0.408935
2475.2000,10
2475.0000,0.552842
2474.8000,-1.95873
2474.6001,10
2474.3999,10
2474.2000,-0.623996
2474.0000,10
2473.8000,10
2473.6001,0
2473.3999,10
2473.2000,0
2473.0000,2.76005
2472.8000,0.153094
2472.6001,0
2472.3999,10
2472.2000,1.93671
2472.0000,-3.29101
2471.8000,10
2471.6001,-0.277447
2471.3999,10
2471.2000,0
2471.0000,1.4969
2470.8000,-2.53824
2470.6001,10
2470.3999,-1.94693
2470.2000,2.11581
2470.0000,10
2469.8000,1.87187
2469.6001,10
2469.3999,10
2469.2000,10
2469.0000,0.734893
2468.8000,-0.449257
2468.6001,10
2468.3999,-1.31063
2468.2000,10
2468.0000,-2.82625
2467.8000,2.35683
2467.6001,10
2467.3999,2.3682
2467.2000,0
2467.0000,10
2466.8000,1.00185
2466.6001,10
2466.3999,-1.56768
2466.2000,-4.10179
2466.0000,0.346787
2465.8000,10
2465.6001,10
2465.3999,10
2465.2000,10
2465.0000,10
2464.8000,0.113342
2464.6001,10
2464.3999,10
2464.2000,-1.63657
2464.0000,10
2463.8000,2.94461
2463.6001,0.577791
2463.3999,0
2463.2000,10
2463.0000,0
2462.8000,1.90807
2462.6001,-1.75887
2462.3999,-2.32746
2462.2000,10
2462.0000,-2.99343
2461.8000,-1.21814
2461.6001,0
2461.3999,-0.937887
2461.2000,10
2461.0000,10
2460.8000,10
2460.6001,10
2460.3999,10
2460.2000,0
2460.0000,1.51132
2459.8000,-2.37111
2459.6001,0.76292
2459.3999,0.0441945
2459.2000,1.51884
2459.0000,10
2458.8000,-1.93531
2458.6001,-2.18821
2458.3999,10
2458.2000,10
2458.0000,10
2457.8000,10
2457.6001,10
2457.3999,0
2457.2000,0
2457.0000,10
2456.8000,10
2456.6001,10
2456.3999,10
2456.2000,0
2456.0000,0
2455.8000,0.21467
2455.6001,10
2455.3999,-0.310066
2455.2000,10
2455.0000,10
2454.8000,10
2454.6001,10
2454.3999,-2.47675
2454.2000,-0.722252
2454.0000,10
2453.8000,10
2453.6001,10
2453.3999,10
2453.2000,10
2453.0000,2.92013
2452.8000,10
2452.6001,0.657577
2452.3999,0
2452.2000,2.49262
2452.0000,10
2451.8000,0
2451.6001,3.46319
2451.3999,10
2451.2000,-1.98708
2451.0000,10
2450.8000,10
2450.6001,10
2450.3999,-0.177039
2450.2000,10
2450.0000,10
2449.8000,10
2449.6001,10
2449.3999,10
2449.2000,-2.98676
2449.0000,10
2448.8000,0
2448.6001,10
2448.3999,10
2448.2000,10
2448.0000,10
2447.8000,10
2447.6001,-2.53608
2447.3999,10
2447.2000,10
2447.0000,10
2446.8000,10
2446.6001,10
2446.3999,10
2446.2000,10
2446.0000,10
2445.8000,0.598282
2445.6001,3.05886
2445.3999,10
2445.2000,-1.15408
2445.0000,10
2444.8000,0.308251
2444.6001,10
2444.3999,-2.39976
2444.2000,0.307269
2444.0000,10
2443.8000,10
2443.6001,10
2443.3999,-0.689671
2443.2000,10
2443.0000,10
2442.8000,10
2442.6001,0
2442.3999,10
2442.2000,-2.792
2442.0000,10
2441.8000,3.01626
2441.6001,-0.00655905
2441.3999,-0.278203
2441.2000,0.332725
2441.0000,10
2440.8000,0
2440.6001,0
2440.3999,0
2440.2000,10
2440.0000,10
2439.8000,10
2439.6001,0.989149
2439.3999,-1.32092
2439.2000,10
2439.0000,10
2438.8000,0
2438.6001,-1.41274
2438.3999,-1.27403
2438.2000,-0.0467788
2438.0000,-2.61833
2437.8000,10
2437.6001,10
2437.3999,10
2437.2000,10
2437.0000,10
2436.8000,0
2436.6001,-1.27319
2436.3999,10
2436.2000,10
2436.0000,10
2435.8000,10
2435.6001,10
2435.3999,0
2435.2000,-2.71702
2435.0000,-1.35636
2434.8000,10
2434.6001,10
2434.3999,1.41458
2434.2000,0
2434.0000,10
2433.8000,0
2433.6001,-1.15235
2433.3999,2.86021
2433.2000,-0.0561071
2433.0000,10
2432.8000,0
2432.6001,0
2432.3999,-2.06025
2432.2000,0
2432.0000,2.08113
2431.8000,0
2431.6001,0.0349312
2431.3999,0
2431.2000,0
2431.0000,10
2430.8000,10
2430.6001,10
2430.3999,-0.039261
2430.2000,0
2430.0000,0
2429.8000,0.267779
2429.6001,10
2429.3999,10
2429.2000,0
2429.0000,0
2428.8000,-2.13145
2428.6001,10
2428.3999,0.227521
2428.2000,-2.77274
2428.0000,-1.02635
2427.8000,10
2427.6001,10
2427.3999,1.30001
2427.2000,10
2427.0000,-0.53168
2426.8000,10
2426.6001,0
2426.3999,0
2426.2000,10
2426.0000,10
2425.8000,10
2425.6001,0.148828
2425.3999,10
2425.2000,10
2425.0000,10
2424.8000,-0.405129
2424.6001,0.262914
2424.3999,10
2424.2000,10
2424.0000,10
2423.8000,10
2423.6001,10
2423.3999,10
2423.2000,0.812554
2423.0000,-2.93731
2422.8000,0
2422.6001,0
2422.3999,10
2422.2000,10
2422.0000,-1.2834
2421.8000,0.420228
2421.6001,10
2421.3999,10
2421.2000,10
2421.0000,10
2420.8000,2.57241
2420.6001,10
2420.3999,10
2420.2000,-0.029403
2420.0000,10
2419.8000,2.25083
2419.6001,-1.7644
2419.3999,1.16048
2419.2000,-0.121703
2419.0000,-0.426995
2418.8000,10
2418.6001,0
2418.3999,-1.91581
2418.2000,-0.645307
2418.0000,10
2417.8000,10
2417.6001,10
2417.3999,2.13062
2417.2000,0.120625
2417.0000,10
2416.8000,10
2416.6001,10
2416.3999,0.113003
2416.2000,10
2416.0000,10
2415.8000,10
2415.6001,10
2415.3999,10
2415.2000,10
2415.0000,0.779393
2414.8000,10
2414.6001,0
2414.3999,0
2414.2000,-0.689807
2414.0000,0
2413.8000,10
2413.6001,0.585027
2413.3999,10
2413.2000,-3.19407
2413.0000,10
2412.8000,10
2412.6001,0
2412.3999,10
2412.2000,10
2412.0000,-0.279082
2411.8000,10
2411.6001,10
2411.3999,10
2411.2000,-2.62325
2411.0000,10
2410.8000,-2.89536
2410.6001,10
2410.3999,-2.30809
2410.2000,3.003
2410.0000,1.05025
2409.8000,0
2409.6001,0
2409.3999,10
2409.2000,0
2409.0000,10
2408.8000,-0.731187
2408.6001,-2.76066
2408.3999,0
2408.2000,1.8704
2408.0000,10
2407.8000,0.980246
2407.6001,10
2407.3999,-2.45998
2407.2000,10
2407.0000,10
